"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer","responses","sentence","keywords","typed_resp","keyword1_acc","keyword2_acc","keyword3_acc","keyword4_acc","keyword5_acc","total_acc","prop_acc"
"html-button-response","201","290532","0.0-5.0-1.0-5.5","3","1","4kw6cl76hatyejp","","574","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","202","293288","0.0-5.0-1.0-0.6","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/right/14_08_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"sentence-resp","203","303234","0.0-5.0-1.0-1.6","3","1","4kw6cl76hatyejp","","9944","","","","","","","SWS-SENT-RESPONSE","","","{""Q0"":""Close in-lodging are free to new men""}","Clothes and lodging are free to new men.","clothes,lodging,free,new,men","CLOSE IN-LODGING ARE FREE TO NEW MEN","0","0","1","1","1","3","0.6"
"html-keyboard-response","204","304486","0.0-5.0-1.0-2.6","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"audio-keyboard-response","205","306741","0.0-5.0-1.0-3.6","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/right/14_08_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"html-keyboard-response","206","307743","0.0-5.0-1.0-4.6","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"html-button-response","207","309189","0.0-5.0-1.0-5.6","3","1","4kw6cl76hatyejp","","945","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","208","312077","0.0-5.0-1.0-0.7","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/right/14_07_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"sentence-resp","209","322296","0.0-5.0-1.0-1.7","3","1","4kw6cl76hatyejp","","10219","","","","","","","SWS-SENT-RESPONSE","","","{""Q0"":""write a small note to the friends you cherish""}","Write a fond note to the friend you cherish.","write,fond,note,friend,cherish","WRITE A SMALL NOTE TO THE FRIENDS YOU CHERISH","1","0","1","0","1","3","0.6"
"html-keyboard-response","210","323547","0.0-5.0-1.0-2.7","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"audio-keyboard-response","211","325935","0.0-5.0-1.0-3.7","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/right/14_07_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"html-keyboard-response","212","326937","0.0-5.0-1.0-4.7","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"html-button-response","213","328507","0.0-5.0-1.0-5.7","3","1","4kw6cl76hatyejp","","1069","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","214","331090","0.0-5.0-1.0-0.8","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/left/14_03_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"sentence-resp","215","340198","0.0-5.0-1.0-1.8","3","1","4kw6cl76hatyejp","","9108","","","","","","","SWS-SENT-RESPONSE","","","{""Q0"":""Lots of fried rice without leaves""}","Pluck the bright rose without leaves.","pluck,bright,rose,without,leaves","LOTS OF FRIED RICE WITHOUT LEAVES","0","0","0","1","1","2","0.4"
"html-keyboard-response","216","341451","0.0-5.0-1.0-2.8","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"audio-keyboard-response","217","343532","0.0-5.0-1.0-3.8","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/left/14_03_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"html-keyboard-response","218","344534","0.0-5.0-1.0-4.8","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"html-button-response","219","345771","0.0-5.0-1.0-5.8","3","1","4kw6cl76hatyejp","","735.0000000000582","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","",""
"audio-keyboard-response","220","348887","0.0-5.0-1.0-0.9","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/left/14_01_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"sentence-resp","221","360684","0.0-5.0-1.0-1.9","3","1","4kw6cl76hatyejp","","11797","","","","","","","SWS-SENT-RESPONSE","","","{""Q0"":""A crab is no small danger on a swim""}","A cramp is no small danger on a swim.","cramp,no,small,danger,swim","A CRAB IS NO SMALL DANGER ON A SWIM","0","1","1","1","1","4","0.8"
"html-keyboard-response","222","361935","0.0-5.0-1.0-2.9","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"audio-keyboard-response","223","364550","0.0-5.0-1.0-3.9","3","1","4kw6cl76hatyejp","","null","","sounds/sentences/left/14_01_cfSWS.wav","","null","","","","","","","","","","","","","","","",""
"html-keyboard-response","224","365552","0.0-5.0-1.0-4.9","3","1","4kw6cl76hatyejp","","null","","","","null","","","","","","","","","","","","","","","",""
"html-button-response","225","370884","0.0-5.0-1.0-5.9","3","1","4kw6cl76hatyejp","","4830","","<p>Press the button below when you are ready to continue.</p>","0","","","","","","","","","","","","","","","","",""
"html-keyboard-response","226","400362","0.0-6.0-0.0","3","1","4kw6cl76hatyejp","","28976","","<p>In this part of the study, you will hear sounds similar to those you just heard.</p><p>Please focus on these sounds, as you may be asked questions about them later.</p><p>Occasionally, the sounds will pause for up to two seconds. When this happens, please press SPACEBAR as quickly as you can.</br>This helps ensure that you are paying attention to the sounds.</p><p>This part of the study will take about 12 minutes to complete, and you will be given the opportunity to take a couple of short breaks every few minutes.</p><p><strong>Press SPACEBAR to begin</strong></p>","","32","","","","","","","","","","","","","","","",""
"html-keyboard-response","227","401363","0.0-6.0-1.0-0.0","3","1","4kw6cl76hatyejp","","null","","<p style=""font-size: 40px;"">+</p>","","null","","","","","","","","","","","","","","","",""
