"trial_type","trial_index","time_elapsed","internal_node_id","counterbalance","lang_instruct","ParticipantID","view_history","rt","url","stimulus","button_pressed","key_press","correctRESP","correct","designation","location","correctanswer"
"audio-keyboard-response","48","1552447","0.0-4.0-1.0-0.9","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/right_rev/ti_SWS.wav","","null","","","","",""
"html-button-response","49","1552984","0.0-4.0-1.0-1.9","1","0","hvcwomzzob0x9rq","","535.7000000476837","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","50","1553990","0.0-4.0-1.0-2.9","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","51","1554793","0.0-4.0-1.0-0.10","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/right_rev/ge_SWS.wav","","null","","","","",""
"html-button-response","52","1555487","0.0-4.0-1.0-1.10","1","0","hvcwomzzob0x9rq","","692.1000000238419","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","53","1556493","0.0-4.0-1.0-2.10","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","54","1557295","0.0-4.0-1.0-0.11","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/left_rev/re_SWS.wav","","null","","","","",""
"html-button-response","55","1558469","0.0-4.0-1.0-1.11","1","0","hvcwomzzob0x9rq","","1172.5","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","56","1559473","0.0-4.0-1.0-2.11","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","57","1560276","0.0-4.0-1.0-0.12","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/left_rev/ge_SWS.wav","","null","","","","",""
"html-button-response","58","1560933","0.0-4.0-1.0-1.12","1","0","hvcwomzzob0x9rq","","656.5","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","59","1561939","0.0-4.0-1.0-2.12","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","60","1562740","0.0-4.0-1.0-0.13","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/left_rev/fu_SWS.wav","","null","","","","",""
"html-button-response","61","1563467","0.0-4.0-1.0-1.13","1","0","hvcwomzzob0x9rq","","725.6999999284744","","Was the sound coming from the left or the right?","0","","","1","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","62","1564472","0.0-4.0-1.0-2.13","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
"audio-keyboard-response","63","1565273","0.0-4.0-1.0-0.14","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/left_rev/fe_SWS.wav","","null","","","","",""
"html-button-response","64","1565924","0.0-4.0-1.0-1.14","1","0","hvcwomzzob0x9rq","","649","","Was the sound coming from the left or the right?","1","","","0","INDUCTION-JUDGMENT","left","0"
"html-keyboard-response","65","1566929","0.0-4.0-1.0-2.14","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#690000;""><b>Incorrect!</b></p>","","null","","","","",""
"audio-keyboard-response","66","1567732","0.0-4.0-1.0-0.15","1","0","hvcwomzzob0x9rq","","null","","sounds/induction/right_rev/ru_SWS.wav","","null","","","","",""
"html-button-response","67","1568296","0.0-4.0-1.0-1.15","1","0","hvcwomzzob0x9rq","","562.7000000476837","","Was the sound coming from the left or the right?","1","","","1","INDUCTION-JUDGMENT","right","1"
"html-keyboard-response","68","1569299","0.0-4.0-1.0-2.15","1","0","hvcwomzzob0x9rq","","null","","<p style=""color:#054d00;""><b>Correct!</b></p>","","null","","","","",""
